acctno,total_mailed,ytd_transactions_2009,ytd_sales_2009,zhomeent,zmobav,zcredit,zhitech,ZHOMEENT01,ZMOBAV01,ZCREDIT01,ZHITECH01
SLDGGQY,16,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
SLDHAQQ,7,0,0,,,,,,,,
SLDYSHA,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQQGQY,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQADQW,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQSHDA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQSYYS,13,1,201,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQPSWW,11,4,282,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQPSDP,16,2,273,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQPPQA,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQLSPA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQLLYW,8,2,1104,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQLDSY,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQHGHY,16,1,99,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQYQYQ,8,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQYALP,15,1,450,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQYHGH,13,5,2349,,,,,,,,
SGQYDSA,12,3,549,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQDQQL,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQDAPL,12,1,294,U,U,Y,U,0.0,0.0,1.0,0.0
SGQDHSA,8,1,138,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQDHYW,16,1,30,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQDYWL,16,2,1170,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWQPSS,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWQPYA,16,2,336,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWQLWG,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWQLPQ,11,6,1125,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWQYAW,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWWWWY,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWWLQG,16,1,207,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGWWLYD,16,2,207,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGWWYQS,10,0,0,,,,,,,,
SGWWDSG,16,1,108,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGWAWGL,8,1,159,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWAAPD,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWAHPP,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWAYWD,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWAYWD,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWSWLL,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGWSYPW,16,2,594,U,U,Y,U,0.0,0.0,1.0,0.0
SGWPLDW,10,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGAHYAL,11,1,153,U,U,Y,Y,0.0,0.0,1.0,1.0
SGAYGGG,13,11,3354,U,U,Y,Y,0.0,0.0,1.0,1.0
SGPWALL,12,2,489,U,U,Y,Y,0.0,0.0,1.0,1.0
SGPLQHP,16,3,1260,U,U,Y,Y,0.0,0.0,1.0,1.0
SGPGSPG,16,3,309,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGLQPHQ,15,11,5307,U,U,Y,Y,0.0,0.0,1.0,1.0
SGLAHAP,16,7,2901,U,U,Y,Y,0.0,0.0,1.0,1.0
SGLAHAP,16,7,2901,U,U,Y,Y,0.0,0.0,1.0,1.0
SGLHDGA,16,1,105,U,U,Y,Y,0.0,0.0,1.0,1.0
SGDGDYG,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SHWHGDW,16,2,1323,U,U,Y,Y,0.0,0.0,1.0,1.0
SHAPQLW,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SHPSAGH,15,11,1908,,,,,,,,
SHLAGYQ,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SHLLSLA,14,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
SHHHDAH,8,3,393,U,U,Y,Y,0.0,0.0,1.0,1.0
SHYGLSQ,16,2,780,,,,,,,,
SHYDALA,9,1,129,U,U,Y,Y,0.0,0.0,1.0,1.0
SYDQDDS,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SDQYDLW,8,1,81,U,U,Y,Y,0.0,0.0,1.0,1.0
