acctno,total_mailed,ytd_transactions_2009,ytd_sales_2009,zhomeent,zmobav,zcredit,zhitech,ZHOMEENT01,ZMOBAV01,ZCREDIT01,ZHITECH01
WWSLQWDLW,16,4,1338,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSLAHPQA,9,16,3645,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSLYLDWS,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSGLAGQG,16,2,534,U,U,Y,U,0.0,0.0,1.0,0.0
WWSGGGALD,13,2,327,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSHSQLYP,14,1,450,U,U,U,U,0.0,0.0,0.0,0.0
WWSHPPGDA,7,6,2292,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSHLWWQW,13,4,213,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSHGPLSP,7,10,2031,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSHGDWLA,15,1,120,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSYWYQHP,16,8,1578,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSYDGHDD,10,3,588,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSDQQAAD,16,3,510,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWSDQAPYQ,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSDQPYQD,12,1,132,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSDAYQQG,9,1,222,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSDGQSHW,16,2,465,U,U,Y,Y,0.0,0.0,1.0,1.0
WWSDHHGGP,10,4,957,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPQWDDDL,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPQAQDQA,13,1,321,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPQLHQAD,13,4,762,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPQLHQPL,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPQGSDQA,11,1,39,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPWWALGY,16,3,426,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPWPDGWQ,7,1,174,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPWLGHQG,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPWDSDAS,11,2,1608,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPAAGDAW,8,2,354,U,U,Y,U,0.0,0.0,1.0,0.0
WWPASLWGW,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPALDHGL,8,4,492,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPAYAQAS,15,1,486,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPADQDQW,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPSSWHQL,14,4,606,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPSLSWAW,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPPYDLWW,10,1,336,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPGQSGPQ,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPGAPLYY,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPGAPGSY,9,2,168,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPGLDQLL,10,10,1542,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPGLDQLL,10,10,1542,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPGHAPYY,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPGDDQYL,16,4,951,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPHWQSGW,8,3,807,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPHALPSL,16,2,225,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPHPDLHL,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPYQYDAG,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPYQDQDY,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWPYLSLSP,16,1,30,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPYLHSSH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWPDDSHWQ,16,1,600,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLQAAWHQ,12,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLQPWPDS,14,1,600,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLQHHYAY,16,1,375,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLWSWSPP,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLWSLLWD,12,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
WWLWLLGLH,13,3,213,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLWYLQLQ,13,1,93,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLWDHWAW,14,1,549,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLAHDLAS,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLSQGAGY,12,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
WWLSAWLSW,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLSAWLSW,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLSHLDAL,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLPLGPPP,11,3,3882,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLPDQLLD,14,2,321,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLLQSSWQ,10,2,387,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLLQLAHS,16,1,231,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLLWYSYS,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLLPPYDA,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLLPLHPW,11,3,123,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLLLGHGS,9,7,1329,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WWLLYGHPL,7,0,0,,,,,,,,
WWLGWQYGH,7,1,246,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLGALGPA,14,3,1020,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLGSYAAS,16,4,1155,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLGPYQQY,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLGYYPSP,15,1,447,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLHWHPWL,14,1,600,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLHASWGL,9,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLHSDGWH,16,1,216,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYWSHDA,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYWPAPG,13,4,837,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYSGHDS,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYSGHDS,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYPLSQH,7,1,39,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYPLHHY,16,9,7221,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWLYYSHPG,15,2,420,,,,,,,,
WWLDPDYQA,12,1,342,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGQPQASD,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGQHSHLQ,7,1,90,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGWWADPH,9,1,159,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WWGWWHWHH,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGWPGAGH,12,0,0,,,,,,,,
WWGWLLDSY,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGAQYGGW,13,1,180,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGAWWYGS,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGAPALQP,13,2,10242,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGAGHLLQ,11,3,645,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGADLLLW,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGSDWWDP,14,11,3756,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGPPADLL,16,4,5697,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGPDALDG,8,0,0,,,,,,,,
WWGPDYAAW,8,1,135,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGLWSDYH,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGLALQWL,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGGAQHSS,10,1,633,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGGLWAYA,8,5,480,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGHPPLHP,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGHLAYYA,10,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWGHHSHDH,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGHYHPYA,13,1,366,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGYGWLGY,10,13,1935,U,U,Y,U,0.0,0.0,1.0,0.0
WWGYHLSDP,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGYYWLHP,14,5,783,U,U,Y,U,0.0,0.0,1.0,0.0
WWHQGGQWD,14,9,2154,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHWWWDHW,12,2,288,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHWPLQYG,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHWLGYQA,16,8,6969,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWHWGHAPH,8,2,1458,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHADWAYG,7,1,180,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHLSSDWD,14,1,114,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WWHLYQQQW,14,3,1170,,,,,,,,
WWHLYHHLY,9,2,306,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWHGDLWQG,10,2,705,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHHQSLDL,16,1,768,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHHADDSD,13,5,1728,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHYLASHG,7,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WWHDQGQLH,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHDQYLYA,16,4,2259,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHDWPYAQ,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHDWDAPW,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWHDYLQPP,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYQSSQWY,9,2,495,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYQLAYYL,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYQLPLYP,15,1,69,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWYWSDHLH,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYWPPPSL,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYWHAQSQ,13,3,2535,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYSQPLWY,8,1,588,U,U,Y,U,0.0,0.0,1.0,0.0
WWYSPPWGH,10,1,225,U,U,Y,U,0.0,0.0,1.0,0.0
WWYSGGSSL,9,1,123,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYSGYGSY,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYSDSWPD,14,1,291,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYPQAYWH,11,2,525,,,,,,,,
WWYPLWWQS,11,4,138,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYPDDSQQ,16,1,189,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYGQAYAQ,15,4,1440,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYGQHYYG,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYHPYGDY,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYHLADPY,14,1,2367,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYHGGHGL,12,1,588,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYHYSGWA,16,1,738,U,U,Y,U,0.0,0.0,1.0,0.0
WWYHDGDLA,16,1,174,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYYQGYLQ,15,2,612,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYYGWAYL,12,1,675,U,U,Y,Y,0.0,0.0,1.0,1.0
WWYYGWADS,14,0,0,,,,,,,,
WWYDWGSLA,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDQHDDGQ,11,3,831,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDWALDYH,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDAYGYYY,12,3,1089,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWDSQDHHW,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDSWQSWG,12,0,0,,,,,,,,
WWDSWLWGG,12,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWDSLSDWQ,15,10,2037,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDLWDYAL,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDGQYWYQ,14,1,270,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDHDQYHW,14,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWDYQHSPL,15,4,810,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDYSAYSQ,16,7,1500,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WWDYDDPDQ,10,1,84,U,U,U,U,0.0,0.0,0.0,0.0
WWDDAQDSA,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WWDDPYSYY,14,3,687,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDDYQQYP,16,3,579,U,U,Y,Y,0.0,0.0,1.0,1.0
WWDDYHWQL,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWQAAGP,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWWYHLH,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWSASSH,16,1,204,U,U,Y,U,0.0,0.0,1.0,0.0
WAQWPQLGW,8,2,216,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWLALWH,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWLALWH,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQWYSSDH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQAAPHSY,7,1,114,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQAHLSPA,16,2,225,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQSWPWYA,10,1,579,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQPPSQAS,12,1,405,,,,,,,,
WAQPDWLPS,7,3,528,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQPDSHQL,13,5,1995,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQLGDYPS,10,1,99,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQYYGGHG,10,9,3306,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQDQQPYL,13,9,5733,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQDAWGGS,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQDAWYLS,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAQDAWDQS,15,4,1677,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWQDHAAP,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAWWPGDHW,16,1,120,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWWHGPGL,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWWYHYLQ,16,1,411,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAWAQAQAA,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWAWDDSL,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWSAQLPS,12,2,1710,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWPWWSAG,7,1,228,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWLDDGHP,7,1,39,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWGAPYLA,9,1,27,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWHDYHYD,9,1,99,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWYPAQGG,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWYYPLQG,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAWDQDPDS,16,2,828,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWDAPPGY,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWDGPQGY,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAAQLQLSH,15,0,0,,,,,,,,
WAAAHYLQQ,7,1,141,U,U,U,U,0.0,0.0,0.0,0.0
WAASLSAGW,12,1,57,U,U,Y,Y,0.0,0.0,1.0,1.0
WAAPWQQDL,16,1,1131,,,,,,,,
WAALPAGQY,10,2,588,U,U,Y,Y,0.0,0.0,1.0,1.0
WAALYDDHW,16,1,750,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAAGSQHPA,10,2,810,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAAYQSSWL,13,10,1863,U,U,Y,Y,0.0,0.0,1.0,1.0
WAAYQPLAD,8,2,108,U,U,Y,U,0.0,0.0,1.0,0.0
WAAYSYGDW,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAAYLHAQP,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAADHYGAQ,8,5,1617,U,U,Y,Y,0.0,0.0,1.0,1.0
WASQASQYH,12,7,3681,U,U,Y,Y,0.0,0.0,1.0,1.0
WASQAPHAW,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WASWSQGGY,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WASAYPPDD,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WASAYDYGQ,16,2,903,U,U,U,U,0.0,0.0,0.0,0.0
WASSLHPDS,12,3,426,U,U,Y,Y,0.0,0.0,1.0,1.0
WASPWQYSD,13,2,195,U,U,Y,Y,0.0,0.0,1.0,1.0
WASPHPLQP,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WASLQYWLA,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WASLGHWDQ,10,1,360,U,U,Y,Y,0.0,0.0,1.0,1.0
WASLYYHPW,11,1,417,U,U,Y,Y,0.0,0.0,1.0,1.0
WASGSAHPH,16,3,417,U,U,Y,Y,0.0,0.0,1.0,1.0
WASGPYSDG,11,2,1317,U,U,Y,Y,0.0,0.0,1.0,1.0
WASYLGQLG,8,1,69,U,U,Y,Y,0.0,0.0,1.0,1.0
WASDQQPQD,10,2,270,U,U,Y,Y,0.0,0.0,1.0,1.0
WASDWYPAH,12,2,699,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPQSQQGL,14,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPWQSSPA,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPWPPDPQ,7,1,207,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPWDLGGQ,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAPAQWWGW,7,2,108,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPAWLLSP,9,3,471,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPAAHQWY,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPAPHAQG,15,2,4554,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPAPYQYD,11,2,702,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAPSLQAAP,16,3,2046,U,U,U,U,0.0,0.0,0.0,0.0
WAPSYDPAQ,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPPSHHHS,10,2,615,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPPPLDPW,7,2,744,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPLSAALQ,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPGAGWDS,16,6,1920,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPGSPASD,8,1,27,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPGHPPLY,16,2,330,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPHLQGQL,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAPYGADHQ,16,4,2139,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPDAYLSA,7,1,225,U,U,Y,Y,0.0,0.0,1.0,1.0
WAPDGDSQP,14,1,387,U,U,Y,Y,0.0,0.0,1.0,1.0
WALQQWLAD,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WALWAAQHH,16,1,324,U,U,Y,U,0.0,0.0,1.0,0.0
WALWPSPPG,15,3,909,Y,U,Y,Y,1.0,0.0,1.0,1.0
WALWHAYQD,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WALWYSWHY,15,2,177,U,U,Y,Y,0.0,0.0,1.0,1.0
WALAQQHDQ,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WALADPAYQ,15,1,270,,,,,,,,
WALLWPSDY,9,1,51,Y,U,Y,Y,1.0,0.0,1.0,1.0
WALLAQDQY,15,1,147,,,,,,,,
WALLSQQLL,7,1,27,U,U,Y,Y,0.0,0.0,1.0,1.0
WALLGAWSA,8,0,0,,,,,,,,
WALLYHAAQ,8,1,441,U,U,Y,Y,0.0,0.0,1.0,1.0
WALGALHAS,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WALGGHSPL,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WALYLHQLA,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAGQQDLHQ,12,2,360,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGQWPLHQ,11,6,1680,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGQAGPWY,11,2,153,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGWGYWYG,8,1,348,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGSGQLAY,7,1,327,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGPWAGSP,9,1,213,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAGPSWPGD,10,4,1065,Y,Y,Y,Y,1.0,1.0,1.0,1.0
WAGGAQSYP,14,1,156,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGGSYQAA,8,1,66,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGGGWYPA,16,1,165,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGGHYQGD,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGHQQWYG,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGYASAWQ,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGYAHSWQ,10,0,0,U,U,U,U,0.0,0.0,0.0,0.0
WAGYLQGWD,15,2,507,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGDSYPQG,15,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
WAGDGQPHL,13,5,1056,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGDGGQYP,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAGDGGLSQ,15,1,66,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHQYSPPA,16,3,924,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHWHYASP,7,1,636,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHWDYQGH,8,1,183,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHASYSQW,15,1,288,U,U,Y,U,0.0,0.0,1.0,0.0
WAHAHDSDG,9,2,189,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHPWDWWH,16,4,2082,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHPAQAQG,16,7,1818,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHLALPDW,9,1,33,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHLGDGPY,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHGAPHPQ,12,3,615,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHHQDHYQ,14,13,12393,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHHSYAYP,15,2,780,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHYWHGAL,16,1,390,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHYGQADP,16,7,756,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHYGHYQA,15,1,27,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHYYGAGL,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHDSSPAA,16,6,1392,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAHDGGADD,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAHDDSSPS,11,1,120,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYQGSWHD,12,5,1404,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYQGSWHD,12,5,1404,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYQGLGYH,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYWWGHDL,16,4,894,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYWLDQDA,11,6,1509,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYWHQDWH,14,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAYAHYLAQ,16,2,888,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYSAHQWA,13,1,360,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYSGALSQ,16,4,1101,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYSHAYYL,13,0,0,,,,,,,,
WAYSHPWLP,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
WAYSYPALA,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYSDYAAD,13,2,258,,,,,,,,
WAYPQGGQQ,14,1,189,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYPSPPQP,7,1,390,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYPDLGSH,15,2,222,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYPDLDSP,16,4,1734,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYPDDAYA,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYLGAAPG,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYHDDAPP,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYYADWWG,7,2,570,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYDQSQDS,7,5,846,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYDAPPGW,13,1,213,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYDDGSSH,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WAYDDGSHY,8,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
